date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-01-07,1083429,5,1.5,7929,113831,3.0,0,0,3,6702,1227,1965,0,3051 Oak St,Bellevue,WA 98044,USA
2014-01-07,974154,2,2.5,6581,122889,1.5,0,0,3,3975,2606,1966,0,7118 Oak St,North Bend,WA 98132,USA
2014-01-07,762746,1,2.0,5323,82583,2.0,0,1,1,4575,748,1913,0,5856 Pine St,Edmonds,WA 98044,USA
2014-01-07,468534,2,2.5,1060,33160,1.5,0,4,4,841,219,1946,0,2816 Pine St,Sammamish,WA 98132,USA
2014-01-07,613491,3,3.5,3151,100011,3.0,0,1,1,2540,611,1919,0,5925 Oak St,Federal Way,WA 98055,USA
2014-01-07,1144334,6,2.5,5748,6277,2.5,0,0,4,3753,1995,2008,2012,3475 Elm St,Mercer Island,WA 98044,USA
2014-01-07,802893,8,2.0,4404,133852,2.5,0,0,3,2543,1861,2012,0,1710 Pine St,Edmonds,WA 98088,USA
2014-01-08,471004,3,1.5,1039,178651,1.0,0,4,3,843,196,1951,0,6664 Main St,Redmond,WA 98165,USA
2014-01-08,1018115,1,3.5,6999,118101,1.0,0,0,3,5551,1448,1967,0,5478 Main St,Lynnwood,WA 98011,USA
2014-01-08,1061261,5,1.0,5255,61750,2.5,1,0,4,3515,1740,2014,0,8459 Main St,Kenmore,WA 98000,USA
2014-01-08,965667,7,1.0,7075,57902,2.5,0,0,3,4584,2491,1925,0,8673 Oak St,Kirkland,WA 98077,USA
2014-01-08,1040389,7,1.0,6459,117849,1.0,0,2,3,4350,2109,1946,0,5583 Oak St,Woodinville,WA 98198,USA
2014-01-08,748732,4,1.0,3636,98052,1.0,0,3,3,2708,928,1978,0,8082 Pine St,Mercer Island,WA 98110,USA
2014-01-09,618144,3,3.0,3789,128894,1.5,0,0,2,3741,48,1972,0,4077 Main St,Kirkland,WA 98121,USA
2014-01-09,497055,1,1.0,3110,164233,2.5,0,1,2,2742,368,1902,0,344 Main St,Bellevue,WA 98121,USA
2014-01-09,907877,4,2.0,6046,176571,2.5,0,0,1,5597,449,1901,0,1452 Elm St,Issaquah,WA 98066,USA
2014-01-09,884222,5,4.0,5412,163958,3.0,0,0,3,4074,1338,2002,1999,1829 Elm St,Kent,WA 98132,USA
2014-01-09,791833,6,1.0,2444,140872,1.5,1,0,4,1864,580,1940,0,4364 Elm St,Kirkland,WA 98077,USA
2014-01-09,734584,3,2.5,3645,50460,2.0,0,0,3,2194,1451,2017,2015,1217 Elm St,Woodinville,WA 98088,USA
2014-01-10,637992,6,4.0,3258,130424,2.0,0,0,3,2803,455,1929,0,8270 Pine St,Federal Way,WA 98066,USA
2014-01-10,940140,1,1.0,5811,71975,2.0,0,2,3,4130,1681,1936,0,618 Oak St,Bellevue,WA 98154,USA
2014-01-10,678730,6,4.0,3760,134436,1.0,0,0,3,3275,485,1980,0,4331 Oak St,Kent,WA 98011,USA
2014-01-10,689214,6,1.5,4607,17568,2.0,0,0,3,3245,1362,1902,0,9757 Oak St,Kirkland,WA 98209,USA
2014-01-10,1019661,1,2.0,6882,170164,3.0,0,0,4,3814,3068,1908,0,9425 Pine St,Lynnwood,WA 98121,USA
2014-01-10,439871,1,2.0,2395,63679,1.0,0,0,4,1404,991,1907,0,8485 Oak St,Bothell,WA 98000,USA
2014-01-10,531761,3,4.0,3000,66781,1.0,0,0,3,2717,283,1908,0,7417 Elm St,Edmonds,WA 98077,USA
2014-01-11,1026843,6,3.5,7026,9430,2.0,0,0,3,4421,2605,2019,0,1349 Main St,Mercer Island,WA 98044,USA
2014-01-11,625788,4,3.0,3329,39692,1.0,0,1,3,2104,1225,1916,2009,5479 Main St,Lynnwood,WA 98154,USA
2014-01-11,907359,8,2.5,4373,31086,1.5,0,4,3,4218,155,1923,0,8220 Main St,Mercer Island,WA 98000,USA
2014-01-11,436512,1,4.0,547,50671,1.5,0,2,5,453,94,1971,0,8239 Main St,Bothell,WA 98000,USA
2014-01-11,578666,5,2.0,2864,145973,2.0,0,0,4,1595,1269,2016,0,1974 Elm St,Shoreline,WA 98099,USA
2014-01-11,687709,6,1.5,2756,4907,3.0,0,3,3,1575,1181,1913,0,5602 Elm St,Woodinville,WA 98099,USA
2014-01-12,900535,1,1.0,6166,29604,1.0,0,0,5,3922,2244,1953,0,2632 Pine St,Edmonds,WA 98154,USA
2014-01-12,1316090,4,2.0,7786,38869,2.5,0,0,3,6205,1581,1979,0,5778 Pine St,Shoreline,WA 98176,USA
2014-01-12,852692,7,1.5,5172,146609,2.0,0,0,3,4532,640,1917,0,5180 Pine St,Burien,WA 98055,USA
2014-01-12,1067967,3,1.0,6958,144573,1.0,0,0,2,4433,2525,2012,0,3100 Main St,Edmonds,WA 98022,USA
2014-01-12,514269,6,3.0,1253,120261,2.0,0,3,3,1171,82,1987,0,8870 Oak St,Shoreline,WA 98132,USA
2014-01-12,871097,7,2.0,5655,169443,2.0,0,0,4,3136,2519,1938,0,4590 Oak St,Seattle,WA 98165,USA
2014-01-13,1287055,1,2.0,7558,115639,3.0,1,0,4,4563,2995,2015,0,7233 Main St,Sammamish,WA 98077,USA
2014-01-13,568012,1,4.0,3302,112690,2.5,0,0,4,3253,49,1946,0,1291 Oak St,Burien,WA 98154,USA
2014-01-13,990543,5,4.0,5149,168893,1.0,0,2,3,2921,2228,1926,0,3500 Elm St,Seattle,WA 98176,USA
2014-01-13,772296,5,1.5,4152,126592,2.0,0,2,4,3919,233,1991,1980,775 Elm St,Federal Way,WA 98176,USA
2014-01-13,301097,6,3.5,902,7073,2.0,0,0,4,768,134,1970,0,6428 Elm St,Mercer Island,WA 98132,USA
2014-01-13,1016458,7,4.0,5726,193077,1.0,0,1,3,3072,2654,1997,0,6133 Main St,Auburn,WA 98176,USA
2014-01-13,478338,8,2.5,2586,19101,2.0,0,1,3,1918,668,1990,0,6738 Elm St,Duvall,WA 98055,USA
2014-01-14,1132157,7,3.0,7224,163498,2.0,0,0,4,5486,1738,1933,0,1041 Pine St,Kenmore,WA 98176,USA
2014-01-14,711892,1,2.5,2727,95877,2.0,1,0,4,2634,93,2002,0,1434 Elm St,Mercer Island,WA 98165,USA
2014-01-14,997071,8,2.0,6655,8313,1.5,0,0,4,4728,1927,1918,0,2048 Pine St,Redmond,WA 98143,USA
2014-01-14,712216,6,2.5,3910,162845,1.5,0,0,1,2828,1082,1905,2004,6596 Main St,Redmond,WA 98132,USA
2014-01-14,614254,1,1.0,3490,160075,2.5,0,1,3,1941,1549,1929,1982,8975 Elm St,Seattle,WA 98055,USA
2014-01-14,908741,5,3.0,5143,60668,3.0,0,0,4,4215,928,1991,2017,3267 Main St,Renton,WA 98022,USA
2014-01-15,390924,4,2.5,1649,92956,1.0,0,0,4,998,651,1911,0,8648 Pine St,Kent,WA 98143,USA
2014-01-15,526188,2,1.0,562,116087,3.0,1,3,3,302,260,1914,0,8585 Oak St,Sammamish,WA 98143,USA
2014-01-15,1023617,8,1.5,5439,120451,3.0,0,0,3,5430,9,2008,0,4271 Pine St,Burien,WA 98154,USA
2014-01-15,641132,2,2.5,3653,93675,1.5,0,0,5,2318,1335,1938,0,5123 Pine St,Sammamish,WA 98077,USA
2014-01-15,345894,1,3.0,1508,92634,2.5,0,0,5,860,648,2002,0,4168 Pine St,Burien,WA 98154,USA
2014-01-15,1074683,7,1.0,6438,174366,3.0,0,0,4,5470,968,1963,0,5599 Elm St,Mercer Island,WA 98132,USA
2014-01-16,534210,5,2.5,2531,145654,3.0,0,0,3,2305,226,1963,0,2189 Pine St,Federal Way,WA 98176,USA
2014-01-16,560450,3,1.5,1822,110119,2.0,0,4,4,969,853,1914,0,7918 Elm St,Bellevue,WA 98022,USA
2014-01-16,645946,3,2.5,2581,145832,1.0,0,0,3,1426,1155,1957,0,9185 Elm St,Seattle,WA 98055,USA
2014-01-16,414119,2,1.0,1251,72791,2.5,0,1,4,681,570,1999,0,9565 Elm St,Bothell,WA 98044,USA
2014-01-16,865917,4,2.5,4644,83158,1.0,0,0,3,2431,2213,1966,0,9846 Main St,Renton,WA 98176,USA
2014-01-16,261738,2,3.0,1157,168055,1.5,0,0,4,959,198,1900,2010,6633 Elm St,Redmond,WA 98011,USA
2014-01-17,539847,1,2.0,2160,172381,3.0,0,4,4,1715,445,1906,0,1589 Elm St,Federal Way,WA 98154,USA
2014-01-17,285103,4,1.0,1200,30715,3.0,0,0,4,997,203,1908,0,2911 Oak St,Mercer Island,WA 98044,USA
2014-01-17,368493,3,1.0,1580,168487,1.0,0,2,3,1189,391,1900,0,8014 Elm St,Redmond,WA 98209,USA
2014-01-17,592369,7,1.0,2656,89260,1.5,0,4,2,2413,243,1904,0,2445 Elm St,Seattle,WA 98055,USA
2014-01-17,505199,5,1.0,2040,183653,2.0,0,0,4,1577,463,1946,0,4251 Pine St,Redmond,WA 98055,USA
2014-01-17,657617,8,2.5,3532,135724,2.0,0,0,3,3388,144,1999,0,7733 Elm St,Renton,WA 98187,USA
2014-01-17,1072339,5,3.0,6667,27297,3.0,0,1,3,4952,1715,1909,0,6286 Elm St,Edmonds,WA 98187,USA
2014-01-18,1066312,1,1.5,6864,146100,3.0,0,2,5,6145,719,1901,0,8205 Main St,Lynnwood,WA 98033,USA
2014-01-18,435286,2,3.0,2483,145875,2.5,0,0,3,1747,736,1922,0,8631 Oak St,Redmond,WA 98176,USA
2014-01-18,409365,1,1.0,814,7307,1.0,0,0,4,584,230,2002,0,5240 Main St,Seattle,WA 98143,USA
2014-01-18,1154804,8,3.5,6937,163397,3.0,0,0,3,6413,524,1992,1982,5101 Main St,Renton,WA 98143,USA
2014-01-18,630928,5,2.5,3581,59616,1.5,0,0,4,1983,1598,1955,0,1039 Main St,Lynnwood,WA 98132,USA
2014-01-18,1139650,8,3.5,6296,192555,1.0,0,3,4,4926,1370,1918,0,4376 Oak St,Sammamish,WA 98066,USA
2014-01-19,1110437,3,2.5,7663,163646,2.5,0,0,4,6614,1049,1937,0,8072 Elm St,Burien,WA 98121,USA
2014-01-19,855743,5,1.0,5613,120828,2.0,0,0,5,4912,701,1946,0,2799 Pine St,Edmonds,WA 98154,USA
2014-01-19,864035,4,2.5,5233,199143,2.5,0,0,3,4164,1069,1983,0,4198 Oak St,Edmonds,WA 98198,USA
2014-01-19,608310,7,1.0,2814,147004,1.0,0,0,4,2037,777,1975,0,8966 Oak St,Kent,WA 98110,USA
2014-01-19,535039,8,3.0,2635,147821,2.0,0,0,4,1661,974,1974,0,8449 Pine St,Shoreline,WA 98154,USA
2014-01-19,1044782,7,4.0,7098,9727,1.5,0,0,3,6776,322,1998,0,8181 Oak St,Duvall,WA 98121,USA
2014-01-20,637783,6,2.0,2149,187478,2.0,1,0,3,1471,678,1951,0,8756 Oak St,Sammamish,WA 98022,USA
2014-01-20,673257,5,2.5,3719,18332,2.0,0,0,5,3345,374,1948,0,7068 Elm St,Kenmore,WA 98176,USA
2014-01-20,1293737,5,1.0,7400,142906,1.5,1,0,2,3817,3583,1970,0,5844 Main St,North Bend,WA 98022,USA
2014-01-20,755520,7,3.5,4300,152397,3.0,0,0,3,2649,1651,1922,0,9031 Oak St,Kirkland,WA 98198,USA
2014-01-20,605567,6,1.0,2978,141285,3.0,0,2,3,2003,975,2018,0,3080 Oak St,Renton,WA 98209,USA
2014-01-20,958933,4,3.5,4567,114741,2.0,0,3,1,3817,750,1949,0,2467 Main St,Sammamish,WA 98033,USA
2014-01-20,429225,2,2.5,2275,133475,2.0,0,0,4,1500,775,1916,0,3802 Main St,Shoreline,WA 98022,USA
2014-01-21,618874,8,1.5,2466,57971,2.5,0,0,3,1284,1182,1947,0,4844 Oak St,Edmonds,WA 98165,USA
2014-01-21,1200822,8,3.5,7554,186102,3.0,0,3,3,4433,3121,1901,0,1243 Main St,Auburn,WA 98121,USA
2014-01-21,992406,5,1.0,6559,74042,1.5,0,0,4,4129,2430,1968,0,6305 Elm St,Kirkland,WA 98077,USA
2014-01-21,634190,7,2.5,2267,96195,2.0,0,3,3,1333,934,1961,2021,2268 Elm St,Shoreline,WA 98176,USA
2014-01-21,912215,1,1.0,4315,139663,2.0,0,3,4,2597,1718,1984,1982,9416 Elm St,Sammamish,WA 98066,USA
2014-01-21,271090,5,1.5,741,128144,2.5,0,0,4,655,86,1912,0,5937 Pine St,Duvall,WA 98110,USA
2014-01-22,797112,1,2.0,5297,13996,2.5,0,0,4,3739,1558,1960,0,2772 Elm St,Bellevue,WA 98187,USA
2014-01-22,834079,4,4.0,3449,53485,2.5,1,0,4,2423,1026,1910,0,8190 Elm St,Kent,WA 98000,USA
2014-01-22,830516,5,4.0,5336,48830,1.0,0,0,2,5246,90,1987,0,1285 Elm St,Shoreline,WA 98022,USA
2014-01-22,1070348,8,1.5,6709,35370,1.5,0,3,2,4852,1857,1996,0,6222 Elm St,Issaquah,WA 98033,USA
2014-01-22,1233861,7,3.0,7615,58572,1.0,0,3,3,7339,276,1926,0,3478 Oak St,Federal Way,WA 98132,USA
2014-01-22,998957,4,2.5,7021,30098,2.0,0,0,2,4560,2461,2018,0,845 Oak St,Federal Way,WA 98055,USA
2014-01-23,1070816,4,1.5,7031,193633,2.5,0,0,3,4923,2108,1934,0,8707 Oak St,North Bend,WA 98143,USA
2014-01-23,954715,2,2.0,6410,3196,2.5,0,0,3,4475,1935,1917,0,669 Oak St,Auburn,WA 98044,USA
2014-01-23,838932,5,1.0,5376,143163,2.5,0,0,3,4155,1221,1984,0,2166 Oak St,Sammamish,WA 98165,USA
2014-01-23,520541,1,2.5,2756,197326,3.0,0,0,3,2183,573,1967,2015,6599 Oak St,Seattle,WA 98154,USA
2014-01-23,773217,1,3.5,4611,50262,1.5,0,3,3,2877,1734,1960,0,6999 Oak St,Seattle,WA 98154,USA
2014-01-23,759124,5,1.5,3868,138095,1.0,0,0,3,3468,400,1940,0,887 Main St,North Bend,WA 98033,USA
2014-01-23,958625,6,2.0,5581,21543,1.5,0,0,3,4176,1405,1995,0,6075 Pine St,Shoreline,WA 98077,USA
2014-01-24,1112402,2,1.5,7887,192101,2.5,0,0,4,3971,3916,1942,0,3271 Pine St,Burien,WA 98165,USA
2014-01-24,443342,2,3.0,866,103171,2.0,0,0,4,689,177,1948,0,9873 Pine St,Redmond,WA 98165,USA
2014-01-24,625627,2,4.0,3327,174409,3.0,0,0,4,2991,336,1910,0,5012 Pine St,Sammamish,WA 98033,USA
2014-01-24,609661,1,4.0,1752,172481,1.5,1,0,4,1095,657,1966,0,9280 Main St,Issaquah,WA 98132,USA
2014-01-24,677689,4,2.5,2987,71540,2.0,0,0,4,1550,1437,1950,0,2242 Oak St,Mercer Island,WA 98132,USA
2014-01-24,892606,7,1.0,5285,142035,2.5,0,2,4,4775,510,1951,0,8450 Pine St,Burien,WA 98011,USA
2014-01-25,725431,6,2.0,4103,145868,2.5,0,0,2,4054,49,2018,2005,6599 Oak St,Renton,WA 98022,USA
2014-01-25,790982,8,1.5,4021,41972,2.5,0,0,3,2164,1857,1984,0,4397 Pine St,Seattle,WA 98077,USA
2014-01-25,1100321,2,2.5,5655,73613,2.5,1,2,4,5479,176,1942,0,3856 Elm St,Duvall,WA 98154,USA
2014-01-25,1044150,1,1.5,5442,96384,3.0,1,2,3,3698,1744,1957,0,1141 Pine St,Kent,WA 98110,USA
2014-01-25,838810,1,2.5,5017,79062,3.0,0,0,3,4870,147,1977,0,3161 Main St,Federal Way,WA 98088,USA
2014-01-25,528656,8,4.0,2143,4261,1.5,0,0,3,1766,377,1969,2001,974 Elm St,Edmonds,WA 98066,USA
2014-01-26,548994,4,3.0,1712,18046,2.5,0,2,3,1618,94,2014,0,9633 Elm St,Burien,WA 98132,USA
2014-01-26,1176769,8,1.5,7845,14397,3.0,0,0,4,7004,841,2016,0,4235 Main St,North Bend,WA 98011,USA
2014-01-26,1019669,5,3.0,5203,192508,2.0,1,0,3,2674,2529,1928,0,4808 Oak St,Kenmore,WA 98077,USA
2014-01-26,936443,5,3.5,5934,91805,3.0,0,0,3,3161,2773,1930,0,8349 Oak St,Kenmore,WA 98066,USA
2014-01-26,401005,7,3.5,519,26757,3.0,0,0,3,395,124,2010,0,5928 Oak St,North Bend,WA 98121,USA
2014-01-26,424025,8,4.0,1175,147371,1.5,0,0,4,663,512,1927,0,6593 Pine St,Federal Way,WA 98198,USA
2014-01-26,844020,7,2.0,4977,133974,3.0,0,0,4,3635,1342,2006,0,3710 Oak St,Sammamish,WA 98066,USA
2014-01-27,561477,2,3.0,1108,119859,2.0,1,2,3,1082,26,1949,0,2192 Oak St,Bellevue,WA 98099,USA
2014-01-27,1088499,7,2.5,6786,43399,2.5,0,2,4,4393,2393,1935,0,2562 Elm St,Redmond,WA 98165,USA
2014-01-27,395814,2,2.0,561,49330,1.0,0,4,3,417,144,1991,0,5525 Oak St,Kenmore,WA 98022,USA
2014-01-27,416977,6,1.5,1765,178380,1.5,0,0,4,1221,544,1918,0,2386 Pine St,Renton,WA 98099,USA
2014-01-27,660037,7,1.5,2785,135918,2.0,0,0,4,2269,516,1966,1987,1582 Pine St,Kenmore,WA 98055,USA
2014-01-27,471148,4,2.5,1654,144431,1.5,0,2,5,987,667,1911,0,3934 Elm St,Kenmore,WA 98187,USA
2014-01-28,726349,2,1.0,2128,181448,2.5,1,0,3,1340,788,1999,0,9528 Elm St,Kenmore,WA 98187,USA
2014-01-28,626022,4,1.0,2126,69056,3.0,1,0,2,1975,151,1987,0,9307 Pine St,Bellevue,WA 98044,USA
2014-01-28,656192,1,1.5,4216,41832,3.0,0,0,3,3818,398,1975,0,1786 Oak St,Bellevue,WA 98066,USA
2014-01-28,860838,2,4.0,5742,152170,2.0,0,0,3,5136,606,1923,0,6564 Main St,Renton,WA 98011,USA
2014-01-28,891506,1,4.0,6059,118095,2.5,0,0,3,5365,694,1964,0,9248 Oak St,Seattle,WA 98110,USA
2014-01-28,878852,3,2.5,5522,105987,1.0,0,0,3,4029,1493,1991,0,9968 Elm St,Seattle,WA 98132,USA
2014-01-29,1103871,4,1.0,6985,182034,1.0,0,4,3,6038,947,1979,0,5302 Elm St,Duvall,WA 98044,USA
2014-01-29,419898,3,3.0,1942,89672,3.0,0,0,5,1346,596,1920,1994,2251 Main St,Bellevue,WA 98055,USA
2014-01-29,496144,2,1.5,2153,36885,2.5,0,4,3,1184,969,1993,0,9950 Main St,Federal Way,WA 98143,USA
2014-01-29,585022,1,3.5,3002,22157,2.5,0,2,5,2091,911,1997,2017,1852 Pine St,Issaquah,WA 98121,USA
2014-01-29,631136,2,3.0,3769,180444,2.0,0,0,4,2183,1586,1925,0,3537 Oak St,Kirkland,WA 98033,USA
2014-01-29,347107,3,2.5,781,20674,1.0,0,1,4,543,238,2017,0,6723 Elm St,Auburn,WA 98055,USA
2014-01-30,1042644,8,3.5,5481,33357,2.0,0,1,5,3555,1926,1934,0,8038 Main St,Kenmore,WA 98099,USA
2014-01-30,533473,8,3.0,1524,13578,1.5,0,0,4,1218,306,1994,1998,2592 Pine St,Issaquah,WA 98187,USA
2014-01-30,845662,2,1.0,5318,129457,2.5,0,0,4,3620,1698,1979,1990,7596 Main St,Renton,WA 98154,USA
2014-01-30,1120213,6,4.0,6394,134323,1.0,0,0,3,5452,942,1957,0,3061 Pine St,North Bend,WA 98077,USA
2014-01-30,684477,5,1.0,3903,169501,2.0,0,0,3,2950,953,1941,0,9969 Elm St,Bellevue,WA 98088,USA
2014-01-30,450549,3,3.5,1735,178943,3.0,0,0,5,1665,70,1928,0,6531 Elm St,Issaquah,WA 98044,USA
2014-01-30,750246,2,2.0,4682,157571,1.5,0,0,3,2554,2128,1928,2020,5407 Main St,Auburn,WA 98099,USA
2014-01-31,925744,1,4.0,5260,138493,2.0,0,0,2,4438,822,1908,0,6648 Oak St,Bothell,WA 98209,USA
2014-01-31,800193,2,1.5,5457,184276,3.0,0,0,4,4563,894,1977,0,2792 Pine St,Bothell,WA 98055,USA
2014-01-31,961850,8,3.5,6318,156663,1.0,0,0,3,6162,156,1971,0,9015 Main St,Seattle,WA 98165,USA
2014-01-31,951439,1,2.5,6704,193012,1.0,0,0,4,4597,2107,1901,0,6245 Pine St,Burien,WA 98022,USA
2014-01-31,1164828,5,1.5,7440,104229,1.5,0,3,2,4856,2584,1974,0,3423 Pine St,Issaquah,WA 98099,USA
2014-01-31,988886,2,3.0,6738,144274,3.0,0,0,4,3949,2789,1901,0,1726 Main St,Bothell,WA 98110,USA
2014-02-01,452952,7,4.0,1285,124981,2.5,0,1,3,812,473,2010,0,7323 Pine St,Redmond,WA 98110,USA
2014-02-01,994568,8,2.5,6172,151362,1.0,0,0,5,4634,1538,1917,1984,3571 Pine St,North Bend,WA 98176,USA
2014-02-01,1195553,7,2.5,7814,150202,2.5,0,0,3,7179,635,1968,0,7357 Oak St,Kirkland,WA 98033,USA
2014-02-01,650896,5,1.0,3817,38077,2.5,0,0,4,2451,1366,1956,0,7006 Pine St,Duvall,WA 98033,USA
2014-02-01,492327,3,3.0,2167,116136,2.0,0,0,2,1254,913,1970,0,3095 Oak St,Redmond,WA 98176,USA
2014-02-01,774965,1,1.0,3508,151468,2.0,0,4,1,2231,1277,1922,0,7313 Oak St,Duvall,WA 98088,USA
2014-02-02,993243,7,1.0,6940,192920,1.0,0,0,3,3820,3120,1918,0,4412 Oak St,North Bend,WA 98198,USA
2014-02-02,644357,6,4.0,3694,61530,2.5,0,0,3,3558,136,1918,0,1277 Elm St,Sammamish,WA 98044,USA
2014-02-02,816682,3,2.0,5289,196346,2.0,0,0,4,4952,337,1957,0,1428 Main St,North Bend,WA 98055,USA
2014-02-02,686335,1,1.0,4275,119179,3.0,0,0,3,2796,1479,2011,0,9169 Pine St,Burien,WA 98022,USA
2014-02-02,597233,8,1.5,2946,28122,3.0,0,2,3,1836,1110,1982,1987,1281 Main St,Seattle,WA 98000,USA
2014-02-02,1036076,8,2.5,4290,30381,3.0,1,0,3,4087,203,1948,0,6396 Main St,Mercer Island,WA 98209,USA
2014-02-02,1434018,8,4.0,7589,177507,3.0,1,2,4,3801,3788,1944,0,5118 Pine St,Sammamish,WA 98165,USA
2014-02-03,860761,5,1.0,5850,106614,2.5,0,0,2,4681,1169,2003,0,6513 Pine St,Woodinville,WA 98110,USA
2014-02-03,334908,7,3.5,1033,155339,3.0,0,0,3,989,44,1927,0,5765 Elm St,Mercer Island,WA 98132,USA
2014-02-03,351409,8,1.5,901,114271,2.5,0,0,4,679,222,1974,1996,7154 Pine St,Seattle,WA 98099,USA
2014-02-03,736603,4,3.0,4163,194050,1.0,0,0,5,2087,2076,1949,0,2571 Elm St,Auburn,WA 98022,USA
